race_date,venue_code,race_number,boat_number,racer_number,racer_name,racer_class_number,racer_branch_number,racer_birthplace_number,racer_age,racer_weight,course_number,start_timing,entry_number,place_number,decision_hand,flying_count,late_count,average_start_timing,national_top_1_percent,national_top_2_percent,national_top_3_percent,local_top_1_percent,local_top_2_percent,local_top_3_percent,assigned_motor_number,assigned_motor_top_2_percent,assigned_motor_top_3_percent,assigned_boat_number,assigned_boat_top_2_percent,assigned_boat_top_3_percent
20251228,01,1,1,5100,栗原 一馬,4,,,29,55.6,1,0.21,,3,,0,0,0.2,4.25,23.94,35.21,3.53,18.99,26.58,50,,,71,,
20251228,01,1,2,5175,島崎 丈一朗,4,,,21,52.1,2,0.22,,4,,0,0,0.25,3.74,22.22,25.93,5.5,25.0,50.0,23,,,69,,
20251228,01,1,3,5033,藤原 孝斗,3,,,28,55.8,3,0.28,,5,,0,0,0.18,3.72,14.61,25.84,4.76,32.26,41.94,33,,,16,,
20251228,01,1,4,5044,渡邉 健,2,,,26,57.2,4,0.15,,6,,0,0,0.17,5.53,37.3,51.59,4.39,25.0,35.71,55,,,54,,
20251228,01,1,5,5364,金子 怜央,4,,,26,52.0,6,0.07,,2,,0,0,0.2,1.62,1.54,4.62,1.44,0.0,0.0,37,,,65,,
20251228,01,1,6,3948,大町 利克,3,,,49,53.1,5,0.19,,1,,0,0,0.2,4.2,25.0,36.84,3.71,14.29,28.57,46,,,67,,
20251228,01,2,1,4439,近藤 友宝,3,,,39,54.9,1,0.26,,5,,0,0,0.17,3.87,22.67,29.33,2.7,4.35,21.74,39,,,53,,
20251228,01,2,2,4538,笠置 博之,2,,,35,53.8,2,0.16,,1,,0,0,0.15,5.8,47.06,50.98,5.41,36.36,54.55,30,,,60,,
20251228,01,2,3,5301,岩下 巧斗,3,,,23,52.1,3,0.08,,4,,0,0,0.18,4.32,24.44,36.67,2.88,7.07,15.15,36,,,70,,
20251228,01,2,4,5095,小原 聡将,2,,,31,52.4,4,0.13,,2,,0,0,0.15,6.03,36.76,64.71,5.26,33.33,55.56,47,,,52,,
20251228,01,2,5,5103,芝田 京介,3,,,27,52.4,5,0.1,,3,,0,0,0.19,4.16,22.22,35.56,4.42,25.0,25.0,34,,,39,,
20251228,01,2,6,5433,米本 圭佑,4,,,20,52.0,6,0.12,,6,,0,0,,1.58,0.0,0.0,0.0,0.0,0.0,43,,,26,,
20251228,01,3,1,4281,大澤 大夢,3,,,42,53.7,1,0.19,,3,,0,0,0.16,4.65,23.38,37.66,4.93,21.43,50.0,18,,,68,,
20251228,01,3,2,4036,金田 諭,2,,,47,52.1,2,0.2,,5,,0,0,0.17,6.43,50.0,69.23,6.67,48.48,72.73,54,,,41,,
20251228,01,3,3,5315,浅井 翼,3,,,25,51.0,3,0.21,,6,,0,0,0.17,2.75,10.13,17.72,1.54,0.0,4.17,22,,,25,,
20251228,01,3,4,5304,井田 涼介,4,,,22,59.0,6,0.33,,4,,1,0,0.24,1.72,4.62,6.15,1.38,2.22,2.22,19,,,30,,
20251228,01,3,5,4496,内堀 学,1,,,38,52.0,4,0.17,,1,,0,0,0.18,6.53,54.84,70.16,5.42,39.47,52.63,21,,,72,,
20251228,01,3,6,4956,齊藤 大将,3,,,30,54.9,5,0.26,,2,,0,0,0.18,4.94,27.27,54.55,4.5,18.75,43.75,53,,,14,,
20251228,01,4,1,4818,伏見 俊介,3,,,34,55.4,1,0.12,,1,,1,0,0.12,3.74,30.43,30.43,6.73,53.33,60.0,25,,,44,,
20251228,01,4,2,4666,日笠 勝弘,3,,,42,52.0,2,0.2,,3,,0,0,0.16,3.52,12.12,30.3,3.67,22.22,33.33,45,,,43,,
20251228,01,4,3,3850,小川 知行,3,,,53,52.0,3,0.2,,5,,0,0,0.15,5.02,28.21,49.57,4.51,26.58,39.24,12,,,63,,
20251228,01,4,4,5096,上原 崚,2,,,30,52.0,4,0.16,,2,,1,0,0.13,5.86,39.13,54.35,4.29,25.0,33.33,14,,,23,,
20251228,01,4,5,4129,宇野 博之,3,,,45,53.6,5,0.19,,6,,0,0,0.16,3.93,17.81,32.88,0.0,0.0,0.0,49,,,18,,
20251228,01,4,6,4140,梶野 学志,1,,,45,53.2,6,0.18,,4,,0,0,0.16,6.01,39.62,62.26,6.07,40.74,66.67,32,,,59,,
20251228,01,5,1,3681,山谷 央,3,,,52,52.0,1,0.14,,1,,0,0,0.16,5.45,34.67,53.33,5.0,20.69,41.38,35,,,24,,
