race_date,venue_code,race_number,race_wind,race_wind_direction_number,race_wave,race_weather_number,race_temperature,race_water_temperature,race_technique_number,win_payout,place_payout_max,exacta_payout,quinella_payout,trifecta_payout,trio_payout,winner_boat_number,winner_racer_number,race_grade_number,race_title,race_subtitle,race_distance
20251228,01,1,4.0,2.0,3.0,1.0,9.0,7.0,4.0,1200,880,27450,3920,83220,4800,6,3948,5,第4回ドラキリュウナイトカップ,予選,1800
20251228,01,2,3.0,2.0,2.0,1.0,9.0,7.0,3.0,200,160,810,380,1810,610,2,4538,5,第4回ドラキリュウナイトカップ,予選,1800
20251228,01,3,0.0,17.0,0.0,1.0,8.0,7.0,3.0,400,1830,1140,1230,2920,1230,5,4496,5,第4回ドラキリュウナイトカップ,予選,1800
20251228,01,4,2.0,10.0,1.0,1.0,8.0,7.0,1.0,230,260,560,520,2230,650,1,4818,5,第4回ドラキリュウナイトカップ,予選,1800
20251228,01,5,1.0,10.0,1.0,1.0,7.0,7.0,1.0,180,130,340,120,1320,440,1,3681,5,第4回ドラキリュウナイトカップ,予選,1800
20251228,01,6,2.0,8.0,1.0,1.0,6.0,7.0,1.0,110,210,310,300,570,330,1,4460,5,第4回ドラキリュウナイトカップ,ドラドキ目玉,1800
20251228,01,7,1.0,8.0,1.0,1.0,5.0,7.0,1.0,130,330,330,380,6810,2710,1,4906,5,第4回ドラキリュウナイトカップ,ドラドキ3,1800
20251228,01,8,0.0,17.0,0.0,1.0,4.0,7.0,4.0,360,130,630,190,1710,190,5,4384,5,第4回ドラキリュウナイトカップ,ドラドキ5,1800
20251228,01,9,0.0,17.0,0.0,1.0,3.0,7.0,2.0,360,210,1270,430,2950,200,3,5096,5,第4回ドラキリュウナイトカップ,予選特賞,1800
20251228,01,10,0.0,17.0,0.0,1.0,3.0,7.0,1.0,150,290,560,380,1730,570,1,5005,5,第4回ドラキリュウナイトカップ,予選特賞,1800
20251228,01,11,0.0,17.0,0.0,1.0,2.0,7.0,1.0,110,190,300,200,520,210,1,4538,5,第4回ドラキリュウナイトカップ,予選特選,1800
20251228,01,12,2.0,2.0,1.0,1.0,2.0,7.0,5.0,110,140,520,450,3460,1550,1,4384,5,第4回ドラキリュウナイトカップ,桐生特選,1800
20251228,02,1,0.0,17.0,0.0,1.0,5.0,6.0,3.0,490,130,970,360,1370,180,2,4325,5,第44回ゴールドカップ・デイリースポーツ杯,予選,1800
20251228,02,2,1.0,6.0,1.0,1.0,7.0,6.0,1.0,560,130,530,360,1980,590,1,4880,5,第44回ゴールドカップ・デイリースポーツ杯,予選,1800
20251228,02,3,2.0,6.0,1.0,1.0,8.0,6.0,3.0,820,270,5310,820,12800,790,5,3863,5,第44回ゴールドカップ・デイリースポーツ杯,予選,1800
20251228,02,4,3.0,6.0,2.0,1.0,9.0,6.0,3.0,860,150,1950,1000,6100,2230,3,5147,5,第44回ゴールドカップ・デイリースポーツ杯,予選,1800
20251228,02,5,3.0,6.0,2.0,1.0,9.0,6.0,3.0,470,270,1570,1500,3490,620,4,5141,5,第44回ゴールドカップ・デイリースポーツ杯,ウインウイン5,1800
20251228,02,6,3.0,6.0,2.0,1.0,10.0,6.0,1.0,360,270,840,880,2120,440,1,4380,5,第44回ゴールドカップ・デイリースポーツ杯,予選,1800
20251228,02,7,2.0,6.0,1.0,1.0,10.0,6.0,1.0,110,220,480,440,2640,1520,1,4295,5,第44回ゴールドカップ・デイリースポーツ杯,ウインウイン7,1800
20251228,02,8,1.0,6.0,1.0,1.0,10.0,6.0,2.0,150,200,590,510,1850,300,2,4366,5,第44回ゴールドカップ・デイリースポーツ杯,予選,1800
20251228,02,9,1.0,8.0,1.0,1.0,10.0,6.0,1.0,160,110,330,200,1010,420,1,4610,5,第44回ゴールドカップ・デイリースポーツ杯,戸田特賞,1800
20251228,02,10,1.0,10.0,1.0,1.0,11.0,6.0,1.0,240,110,290,160,1200,470,1,3826,5,第44回ゴールドカップ・デイリースポーツ杯,戸田特賞,1800
20251228,02,11,1.0,8.0,1.0,1.0,10.0,6.0,1.0,130,150,350,320,1510,690,1,4797,5,第44回ゴールドカップ・デイリースポーツ杯,戸田特選,1800
20251228,02,12,1.0,10.0,1.0,1.0,10.0,6.0,4.0,520,370,5650,4290,43600,15100,3,4053,5,第44回ゴールドカップ・デイリースポーツ杯,記者選抜戦,1800
20251228,03,1,2.0,12.0,5.0,1.0,8.0,12.0,3.0,320,170,1060,410,2510,320,3,5261,5,第48回京葉賞 トータリゼータエンジニアリング杯,予選,1800
